Titles,Prices,Links,Market
PNY Quadro RTX A5000 24GB With ECC,"2.253,73€",https://www.bestprice.gr/item/2156786161/pny-quadro-rtx-a5000-24gb-with-ecc.html,Σε 5 καταστήματα
PNY Quadro RTX A5000 24GB,"2.228,43€",https://www.bestprice.gr/item/2156700390/pny-quadro-rtx-a5000-24gb.html,Σε 7 καταστήματα
Asrock Radeon RX 6900 XT 16GB OC Formula,"2.195,32€",https://www.bestprice.gr/item/2156802608/asrock-radeon-rx-6900-xt-16gb-oc-formula.html,Σε 5 καταστήματα
Dell GeForce RTX 3090 24GB,"2.087,00€",https://www.bestprice.gr/item/2157806394/dell-geforce-rtx-3090-24gb.html,Σε 1 κατάστημα
AFOX GeForce RTX 3090 24GB,"2.087,00€",https://www.bestprice.gr/item/2157806390/afox-geforce-rtx-3090-24gb.html,Σε 1 κατάστημα
KFA2 GeForce RTX 3090 Ti 24GB EX Gamer OC,"2.069,76€",https://www.bestprice.gr/item/2157924878/kfa2-geforce-rtx-3090-ti-24gb-ex-gamer-oc.html,Σε 1 κατάστημα
Palit GeForce RTX 3070 8GB GameRock OC,"2.063,00€",https://www.bestprice.gr/item/2156420867/palit-geforce-rtx-3070-8gb-gamerock-oc.html,Σε 1 κατάστημα
PNY Quadro RTX 5000 16GB,"1.965,88€",https://www.bestprice.gr/item/2155493305/pny-quadro-rtx-5000-16gb.html,Σε 13 καταστήματα
Evga GeForce RTX 3080 Ti 12GB FTW3 Ultra Gaming,"1.876,05€",https://www.bestprice.gr/item/2156891540/evga-geforce-rtx-3080-ti-12gb-ftw3-ultra-gaming.html,Σε 2 καταστήματα
Lenovo Quadro RTX 5000 16GB,"1.851,50€",https://www.bestprice.gr/item/2157491764/lenovo-quadro-rtx-5000-16gb.html,Σε 3 καταστήματα
AMD Radeon Pro WX 9100 16GB,"1.829,00€",https://www.bestprice.gr/item/2155826316/amd-radeon-pro-wx-9100-16gb.html,Σε 2 καταστήματα
Inno3D GeForce RTX 3080 Ti 12GB iChill X4,"1.810,40€",https://www.bestprice.gr/item/2157174221/inno3d-geforce-rtx-3080-ti-12gb-ichill-x4.html,Σε 1 κατάστημα
Palit GeForce RTX 3080 Ti 12GB GameRock,"1.807,00€",https://www.bestprice.gr/item/2156776574/palit-geforce-rtx-3080-ti-12gb-gamerock.html,Σε 1 κατάστημα
Gigabyte Aorus GeForce RTX 3080 Ti 12GB Master,"1.798,02€",https://www.bestprice.gr/item/2156766007/gigabyte-aorus-geforce-rtx-3080-ti-12gb-master.html,Σε 1 κατάστημα
Inno3D GeForce RTX 3090 24GB X3,"1.798,00€",https://www.bestprice.gr/item/2157311346/inno3d-geforce-rtx-3090-24gb-x3.html,Σε 1 κατάστημα
MSI GeForce RTX 3090 24GB Suprim X,"1.790,00€",https://www.bestprice.gr/item/2156420866/msi-geforce-rtx-3090-24gb-suprim-x.html,Σε 2 καταστήματα
Zotac GeForce RTX 3080 12GB Trinity OC LHR,"1.760,75€",https://www.bestprice.gr/item/2157341745/zotac-geforce-rtx-3080-12gb-trinity-oc-lhr.html,Σε 1 κατάστημα
Gainward GeForce RTX 3090 Ti 24GB Phantom,"1.753,00€",https://www.bestprice.gr/item/2157509385/gainward-geforce-rtx-3090-ti-24gb-phantom.html,Σε 2 καταστήματα
PNY Quadro RTX A4500 80GB Small Box,"1.719,10€",https://www.bestprice.gr/item/2157319827/pny-quadro-rtx-a4500-80gb-small-box.html,Σε 8 καταστήματα
Asus Radeon RX 6800 XT 16GB TUF Gaming OC,"654,85€",https://www.bestprice.gr/item/2156457142/asus-radeon-rx-6800-xt-16gb-tuf-gaming-oc.html?bpref=cat_deals_side,Σε 7 καταστήματα
Sapphire Radeon RX 6900 XT 16GB Toxic,"824,67€",https://www.bestprice.gr/item/2156967593/sapphire-radeon-rx-6900-xt-16gb-toxic.html?bpref=cat_deals_side,Σε 8 καταστήματα
Gigabyte Radeon RX 6600 XT 8GB Gaming Pro OC,"439,75€",https://www.bestprice.gr/item/2156893332/gigabyte-radeon-rx-6600-xt-8gb-gaming-pro-oc.html?bpref=cat_deals_side,Σε 8 καταστήματα
Manli GeForce GTX 1660 Super 6GB Blower,"212,54€",https://www.bestprice.gr/item/2156102022/manli-geforce-gtx-1660-super-6gb-blower.html?bpref=cat_deals_side,Σε 5 καταστήματα
Lenovo Quadro RTX 5000 16GB,"1.851,50€",https://www.bestprice.gr/item/2157491764/lenovo-quadro-rtx-5000-16gb.html?bpref=cat_deals_side,Σε 3 καταστήματα
PNY Quadro RTX A4500 20GB,"1.701,34€",https://www.bestprice.gr/item/2157305479/pny-quadro-rtx-a4500-20gb.html,Σε 7 καταστήματα
Asrock Radeon RX 6800 XT 16GB Taichi X OC,"1.690,03€",https://www.bestprice.gr/item/2156486181/asrock-radeon-rx-6800-xt-16gb-taichi-x-oc.html,Σε 2 καταστήματα
Gigabyte GeForce RTX 3090 24GB Vision OC,"1.651,68€",https://www.bestprice.gr/item/2156350904/gigabyte-geforce-rtx-3090-24gb-vision-oc.html,Σε 3 καταστήματα
Asus Quadro A2 16GB,"1.599,54€",https://www.bestprice.gr/item/2157981391/asus-quadro-a2-16gb.html,Σε 1 κατάστημα
Sapphire Radeon RX 6900 XT 16GB Toxic Extreme Edition,"1.599,00€",https://www.bestprice.gr/item/2156749184/sapphire-radeon-rx-6900-xt-16gb-toxic-extreme-edition.html,Σε 1 κατάστημα
Gigabyte GeForce RTX 3090 Ti 24GB Gaming OC,"1.503,00€",https://www.bestprice.gr/item/2157451882/gigabyte-geforce-rtx-3090-ti-24gb-gaming-oc.html,Σε 5 καταστήματα
Fujitsu Quadro RTX A4000 16GB,"1.499,18€",https://www.bestprice.gr/item/2157688153/fujitsu-quadro-rtx-a4000-16gb.html,Σε 1 κατάστημα
MSI GeForce RTX 3080 Ti 12GB Suprim X,"1.494,75€",https://www.bestprice.gr/item/2156766017/msi-geforce-rtx-3080-ti-12gb-suprim-x.html,Σε 9 καταστήματα
Fujitsu Quadro RTX 4000 8GB,"1.486,95€",https://www.bestprice.gr/item/2156247953/fujitsu-quadro-rtx-4000-8gb.html,Σε 1 κατάστημα
Gigabyte Radeon RX 6950 XT 16GB Gaming OC,"1.451,77€",https://www.bestprice.gr/item/2157583285/gigabyte-radeon-rx-6950-xt-16gb-gaming-oc.html,Σε 7 καταστήματα
Asus GeForce RTX 3070 8GB EKWB,"1.450,00€",https://www.bestprice.gr/item/2156840879/asus-geforce-rtx-3070-8gb-ekwb.html,Σε 1 κατάστημα
MSI GeForce RTX 3080 Ti 12GB Suprim,"1.434,00€",https://www.bestprice.gr/item/2156766018/msi-geforce-rtx-3080-ti-12gb-suprim.html,Σε 1 κατάστημα
Gigabyte GeForce RTX 3080 Ti 12GB Gaming OC,"1.417,27€",https://www.bestprice.gr/item/2156766008/gigabyte-geforce-rtx-3080-ti-12gb-gaming-oc.html,Σε 21 καταστήματα
Asus GeForce RTX 3090 Ti 24GB TUF Gaming OC,"1.413,04€",https://www.bestprice.gr/item/2157451890/asus-geforce-rtx-3090-ti-24gb-tuf-gaming-oc.html,Σε 14 καταστήματα
MSI Radeon RX 6900 XT 16GB Gaming Z Trio,"1.411,29€",https://www.bestprice.gr/item/2156786162/msi-radeon-rx-6900-xt-16gb-gaming-z-trio.html,Σε 7 καταστήματα
Palit GeForce RTX 3090 Ti 24GB GameRock,"1.410,50€",https://www.bestprice.gr/item/2157509384/palit-geforce-rtx-3090-ti-24gb-gamerock.html,Σε 7 καταστήματα
Asus GeForce RTX 3090 Ti 24GB TUF Gaming,"1.400,70€",https://www.bestprice.gr/item/2157451891/asus-geforce-rtx-3090-ti-24gb-tuf-gaming.html,Σε 6 καταστήματα
Inno3D GeForce RTX 3080 10GB iChill X3 LHR,"1.383,32€",https://www.bestprice.gr/item/2157631976/inno3d-geforce-rtx-3080-10gb-ichill-x3-lhr.html,Σε 1 κατάστημα
Zotac GeForce RTX 3090 Ti 24GB AMP Extreme Holo,"1.363,95€",https://www.bestprice.gr/item/2157452294/zotac-geforce-rtx-3090-ti-24gb-amp-extreme-holo.html,Σε 8 καταστήματα
Lenovo Quadro RTX A4000 16GB,"1.347,27€",https://www.bestprice.gr/item/2157246106/lenovo-quadro-rtx-a4000-16gb.html,Σε 1 κατάστημα
Palit GeForce RTX 3090 24GB GameRock,"1.346,67€",https://www.bestprice.gr/item/2156455217/palit-geforce-rtx-3090-24gb-gamerock.html,Σε 1 κατάστημα
PowerColor Radeon RX 6900 XT 16GB Red Devil,"1.337,87€",https://www.bestprice.gr/item/2156483911/powercolor-radeon-rx-6900-xt-16gb-red-devil.html,Σε 2 καταστήματα
Manli GeForce RTX 3080 Ti 12GB Triple Fan,"1.330,15€",https://www.bestprice.gr/item/2157287754/manli-geforce-rtx-3080-ti-12gb-triple-fan.html,Σε 1 κατάστημα
MSI Radeon RX 6950 XT 16GB Gaming X Trio,"1.328,60€",https://www.bestprice.gr/item/2157583296/msi-radeon-rx-6950-xt-16gb-gaming-x-trio.html,Σε 6 καταστήματα
MSI GeForce RTX 3090 Ti 24GB Gaming X Trio,"1.325,19€",https://www.bestprice.gr/item/2157451884/msi-geforce-rtx-3090-ti-24gb-gaming-x-trio.html,Σε 16 καταστήματα
Asus Radeon RX 6800 XT 16GB TUF Gaming OC,"654,85€",https://www.bestprice.gr/item/2156457142/asus-radeon-rx-6800-xt-16gb-tuf-gaming-oc.html?bpref=cat_deals_side,Σε 7 καταστήματα
Sapphire Radeon RX 6900 XT 16GB Toxic,"824,67€",https://www.bestprice.gr/item/2156967593/sapphire-radeon-rx-6900-xt-16gb-toxic.html?bpref=cat_deals_side,Σε 8 καταστήματα
Gigabyte Radeon RX 6600 XT 8GB Gaming Pro OC,"439,75€",https://www.bestprice.gr/item/2156893332/gigabyte-radeon-rx-6600-xt-8gb-gaming-pro-oc.html?bpref=cat_deals_side,Σε 8 καταστήματα
Manli GeForce GTX 1660 Super 6GB Blower,"212,54€",https://www.bestprice.gr/item/2156102022/manli-geforce-gtx-1660-super-6gb-blower.html?bpref=cat_deals_side,Σε 5 καταστήματα
Lenovo Quadro RTX 5000 16GB,"1.851,50€",https://www.bestprice.gr/item/2157491764/lenovo-quadro-rtx-5000-16gb.html?bpref=cat_deals_side,Σε 3 καταστήματα
PNY GeForce RTX 3090 24GB XLR8 Gaming Revel EPIC-X RGB,"1.321,34€",https://www.bestprice.gr/item/2156479255/pny-geforce-rtx-3090-24gb-xlr8-gaming-revel-epic-x-rgb.html,Σε 2 καταστήματα
Gigabyte Aorus GeForce RTX 3080 12GB Master,"1.320,02€",https://www.bestprice.gr/item/2157256743/gigabyte-aorus-geforce-rtx-3080-12gb-master.html,Σε 1 κατάστημα
MSI GeForce RTX 3090 24GB Gaming X Trio,"1.311,05€",https://www.bestprice.gr/item/2156248022/msi-geforce-rtx-3090-24gb-gaming-x-trio.html,Σε 6 καταστήματα
PowerColor Radeon RX 6900 XT 16GB Red Devil Ultimate,"1.309,99€",https://www.bestprice.gr/item/2156661501/powercolor-radeon-rx-6900-xt-16gb-red-devil-ultimate.html,Σε 2 καταστήματα
Asus Radeon RX 6900 XT 16GB ROG Strix LC,"1.300,02€",https://www.bestprice.gr/item/2156789213/asus-radeon-rx-6900-xt-16gb-rog-strix-lc.html,Σε 16 καταστήματα
Asus GeForce RTX 3060 12GB TUF Gaming,"1.300,00€",https://www.bestprice.gr/item/2156622903/asus-geforce-rtx-3060-12gb-tuf-gaming.html,Σε 1 κατάστημα
XFX Radeon RX 6800 XT 16GB Speedster SWFT 319,"1.299,55€",https://www.bestprice.gr/item/2157246104/xfx-radeon-rx-6800-xt-16gb-speedster-swft-319.html,Σε 1 κατάστημα
Gigabyte GeForce RTX 3090 24GB Turbo,"1.284,02€",https://www.bestprice.gr/item/2156374300/gigabyte-geforce-rtx-3090-24gb-turbo.html,Σε 5 καταστήματα
Asus GeForce RTX 3060 12GB ROG Strix OC,"1.280,00€",https://www.bestprice.gr/item/2156700395/asus-geforce-rtx-3060-12gb-rog-strix-oc.html,Σε 1 κατάστημα
Evga GeForce RTX 3070 Ti 8GB XC3 Ultra Gaming,"1.271,62€",https://www.bestprice.gr/item/2157643677/evga-geforce-rtx-3070-ti-8gb-xc3-ultra-gaming.html,Σε 1 κατάστημα
Colorful Geforce RTX 3060 12GB Battle AX,"1.250,00€",https://www.bestprice.gr/item/2156840875/colorful-geforce-rtx-3060-12gb-battle-ax.html,Σε 1 κατάστημα
Asus GeForce RTX 3090 24GB TUF Gaming,"1.244,50€",https://www.bestprice.gr/item/2156289616/asus-geforce-rtx-3090-24gb-tuf-gaming.html,Σε 1 κατάστημα
Asus GeForce RTX 3060 12GB Dual OC,"1.240,00€",https://www.bestprice.gr/item/2156599404/asus-geforce-rtx-3060-12gb-dual-oc.html,Σε 1 κατάστημα
HP Quadro RTX 4000 8GB,"1.239,00€",https://www.bestprice.gr/item/2155666708/hp-quadro-rtx-4000-8gb.html,Σε 1 κατάστημα
Gainward GeForce RTX 3060 12GB Pegasus OC,"1.235,00€",https://www.bestprice.gr/item/2156844689/gainward-geforce-rtx-3060-12gb-pegasus-oc.html,Σε 1 κατάστημα
Palit GeForce RTX 3090 24GB GamingPro,"1.217,39€",https://www.bestprice.gr/item/2156391616/palit-geforce-rtx-3090-24gb-gamingpro.html,Σε 4 καταστήματα
Asus Quadro RTX A4000 16GB,"1.215,50€",https://www.bestprice.gr/item/2157497424/asus-quadro-rtx-a4000-16gb.html,Σε 5 καταστήματα
MSI GeForce RTX 3080 Ti 12GB Gaming X Trio,"1.213,40€",https://www.bestprice.gr/item/2156766019/msi-geforce-rtx-3080-ti-12gb-gaming-x-trio.html,Σε 18 καταστήματα
Manli GeForce RTX 3090 Ti 24GB Gallardo,"1.210,22€",https://www.bestprice.gr/item/2157509386/manli-geforce-rtx-3090-ti-24gb-gallardo.html,Σε 4 καταστήματα
MSI Radeon RX 6900 XT 16GB Gaming X Trio,"1.200,00€",https://www.bestprice.gr/item/2156497523/msi-radeon-rx-6900-xt-16gb-gaming-x-trio.html,Σε 6 καταστήματα
Gigabyte GeForce RTX 3080 10GB Gaming OC Waterforce WB LHR Rev. 2.0,"1.199,00€",https://www.bestprice.gr/item/2157061318/gigabyte-geforce-rtx-3080-10gb-gaming-oc-waterforce-wb-lhr-rev-20.html,Σε 1 κατάστημα
Asus GeForce RTX 3090 24GB TUF Gaming OC,"1.198,12€",https://www.bestprice.gr/item/2156289619/asus-geforce-rtx-3090-24gb-tuf-gaming-oc.html,Σε 12 καταστήματα
Gigabyte Aorus Radeon RX 6800 XT 16GB Master,"1.198,01€",https://www.bestprice.gr/item/2156457139/gigabyte-aorus-radeon-rx-6800-xt-16gb-master.html,Σε 3 καταστήματα
Sapphire Radeon RX 6950 XT 16GB Pure Nitro+,"1.193,00€",https://www.bestprice.gr/item/2157583306/sapphire-radeon-rx-6950-xt-16gb-pure-nitro.html,Σε 3 καταστήματα
Zotac GeForce RTX 3090 24GB Trinity OC,"1.191,85€",https://www.bestprice.gr/item/2156583219/zotac-geforce-rtx-3090-24gb-trinity-oc.html,Σε 7 καταστήματα
Asus Radeon RX 6800 XT 16GB TUF Gaming OC,"654,85€",https://www.bestprice.gr/item/2156457142/asus-radeon-rx-6800-xt-16gb-tuf-gaming-oc.html?bpref=cat_deals_side,Σε 7 καταστήματα
Sapphire Radeon RX 6900 XT 16GB Toxic,"824,67€",https://www.bestprice.gr/item/2156967593/sapphire-radeon-rx-6900-xt-16gb-toxic.html?bpref=cat_deals_side,Σε 8 καταστήματα
Gigabyte Radeon RX 6600 XT 8GB Gaming Pro OC,"439,75€",https://www.bestprice.gr/item/2156893332/gigabyte-radeon-rx-6600-xt-8gb-gaming-pro-oc.html?bpref=cat_deals_side,Σε 8 καταστήματα
Manli GeForce GTX 1660 Super 6GB Blower,"212,54€",https://www.bestprice.gr/item/2156102022/manli-geforce-gtx-1660-super-6gb-blower.html?bpref=cat_deals_side,Σε 5 καταστήματα
Lenovo Quadro RTX 5000 16GB,"1.851,50€",https://www.bestprice.gr/item/2157491764/lenovo-quadro-rtx-5000-16gb.html?bpref=cat_deals_side,Σε 3 καταστήματα
Gigabyte GeForce RTX 3090 24GB Eagle OC,"1.185,00€",https://www.bestprice.gr/item/2156248019/gigabyte-geforce-rtx-3090-24gb-eagle-oc.html,Σε 9 καταστήματα
Gigabyte GeForce RTX 3080 12GB Gaming OC LHR,"1.184,96€",https://www.bestprice.gr/item/2157311352/gigabyte-geforce-rtx-3080-12gb-gaming-oc-lhr.html,Σε 1 κατάστημα
XFX Radeon RX 6900 XT 16GB Speedster SWFT 319,"1.182,35€",https://www.bestprice.gr/item/2156962876/xfx-radeon-rx-6900-xt-16gb-speedster-swft-319.html,Σε 1 κατάστημα
Lenovo Quadro RTX A2000 12GB 4X61J52232,"1.177,06€",https://www.bestprice.gr/item/2157924889/lenovo-quadro-rtx-a2000-12gb-4x61j52232.html,Σε 1 κατάστημα
AMD FirePro W7100 8GB,"1.162,00€",https://www.bestprice.gr/item/2155445640/amd-firepro-w7100-8gb.html,Σε 1 κατάστημα
Asus GeForce RTX 3080 10GB TUF Gaming V2,"1.158,00€",https://www.bestprice.gr/item/2157132047/asus-geforce-rtx-3080-10gb-tuf-gaming-v2.html,Σε 1 κατάστημα
AMD Radeon RX 6900 XT 16GB,"1.156,00€",https://www.bestprice.gr/item/2156339769/amd-radeon-rx-6900-xt-16gb.html,Σε 1 κατάστημα
XFX Radeon RX 6900 XT 16GB MERC 319 Limited Black,"1.150,00€",https://www.bestprice.gr/item/2157282709/xfx-radeon-rx-6900-xt-16gb-merc-319-limited-black.html,Σε 1 κατάστημα
Zotac GeForce RTX 3080 Ti 12GB AMP Holo,"1.148,00€",https://www.bestprice.gr/item/2156936092/zotac-geforce-rtx-3080-ti-12gb-amp-holo.html,Σε 2 καταστήματα
MSI GeForce RTX 3080 12GB Gaming Z Trio,"1.146,02€",https://www.bestprice.gr/item/2157277953/msi-geforce-rtx-3080-12gb-gaming-z-trio.html,Σε 1 κατάστημα
Sapphire Radeon RX 6900 XT 16GB Nitro+,"1.145,16€",https://www.bestprice.gr/item/2156481458/sapphire-radeon-rx-6900-xt-16gb-nitro.html,Σε 3 καταστήματα
Zotac GeForce RTX 3080 12GB Trinity LHR,"1.141,50€",https://www.bestprice.gr/item/2157391746/zotac-geforce-rtx-3080-12gb-trinity-lhr.html,Σε 2 καταστήματα
XFX Radeon RX 6900 XT 16GB Speedster MERC 319 V2,"1.135,44€",https://www.bestprice.gr/item/2157103441/xfx-radeon-rx-6900-xt-16gb-speedster-merc-319-v2.html,Σε 2 καταστήματα
Asus GeForce RTX 3080 Ti 12GB TUF Gaming OC,"1.129,45€",https://www.bestprice.gr/item/2156772901/asus-geforce-rtx-3080-ti-12gb-tuf-gaming-oc.html,Σε 21 καταστήματα
Gigabyte GeForce RTX 3080 Ti 12GB Vision OC,"1.123,52€",https://www.bestprice.gr/item/2156766009/gigabyte-geforce-rtx-3080-ti-12gb-vision-oc.html,Σε 26 καταστήματα
MSI GeForce RTX 3080 Ti 12GB Ventus 3X OC,"1.113,72€",https://www.bestprice.gr/item/2156766021/msi-geforce-rtx-3080-ti-12gb-ventus-3x-oc.html,Σε 22 καταστήματα
Gigabyte GeForce RTX 3060 12GB Eagle OC,"1.110,00€",https://www.bestprice.gr/item/2156447916/gigabyte-geforce-rtx-3060-12gb-eagle-oc.html,Σε 1 κατάστημα
